City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Renfrew,GB,2021-11-21 22:01:33,55.872,-4.3925,41.14,89,24,3.44
68,Mataura,NZ,2021-11-21 21:59:07,-46.1927,168.8643,50.11,98,100,0.51
69,Popondetta,PG,2021-11-21 22:02:14,-8.7537,148.2534,82.9,73,91,0.43
70,Hilo,US,2021-11-21 22:00:06,19.7297,-155.09,79.25,74,100,3.0
71,Maragogi,BR,2021-11-21 22:02:14,-9.0122,-35.2225,79.2,76,2,11.54
72,Evensk,RU,2021-11-21 22:02:14,61.95,159.2333,6.1,74,0,13.98
73,Mahanoro,MG,2021-11-21 22:02:14,-19.9,48.8,72.63,90,18,4.38
74,Carnarvon,AU,2021-11-21 21:59:10,-24.8667,113.6333,62.67,72,75,8.05
75,Upernavik,GL,2021-11-21 22:02:15,72.7868,-56.1549,5.38,82,50,7.67
76,Luena,AO,2021-11-21 22:02:15,-11.7833,19.9167,61.99,95,65,3.56
77,Axim,GH,2021-11-21 22:02:15,4.8699,-2.2405,79.57,85,53,5.73
78,Hithadhoo,MV,2021-11-21 22:02:16,-0.6,73.0833,81.18,78,100,10.0
79,Huarmey,PE,2021-11-21 22:02:16,-10.0681,-78.1522,67.95,79,98,8.9
80,Srednekolymsk,RU,2021-11-21 22:02:16,67.45,153.6833,-22.85,100,100,0.56
81,Melgar,CO,2021-11-21 22:02:16,4.2048,-74.6407,81.32,79,76,0.49
82,Ust-Ilimsk,RU,2021-11-21 22:02:17,58.0006,102.6619,8.69,96,100,3.49
83,Kanbe,MM,2021-11-21 22:02:17,16.7053,96.0017,77.05,88,51,4.21
84,Presidencia Roque Saenz Pena,AR,2021-11-21 22:02:17,-26.7852,-60.4388,81.03,45,24,6.44
85,Georgetown,MY,2021-11-21 22:01:25,5.4112,100.3354,78.89,93,20,0.0
86,Bluff,NZ,2021-11-21 22:00:12,-46.6,168.3333,52.16,79,100,8.86
87,Namibe,AO,2021-11-21 22:02:18,-15.1961,12.1522,67.03,81,16,4.0
88,Souillac,MU,2021-11-21 21:59:09,-20.5167,57.5167,73.78,88,40,3.44
89,Avarua,CK,2021-11-21 21:57:25,-21.2078,-159.775,80.65,74,75,8.05
90,Hobart,AU,2021-11-21 22:02:18,-42.8794,147.3294,62.11,74,40,4.61
91,Segou,ML,2021-11-21 22:02:18,13.4317,-6.2157,82.33,15,7,7.76
92,Pringsewu,ID,2021-11-21 22:02:19,-5.3582,104.9744,73.8,95,100,2.44
93,Antofagasta,CL,2021-11-21 22:03:19,-23.65,-70.4,61.88,68,54,7.25
94,Chicama,PE,2021-11-21 22:03:19,-7.8447,-79.1469,64.94,71,99,7.96
95,Manzil Salim,TN,2021-11-21 22:03:20,35.8567,8.4765,53.26,68,6,6.67
96,Shimoda,JP,2021-11-21 22:03:20,34.6667,138.95,57.11,86,99,9.26
97,Nome,US,2021-11-21 22:01:48,64.5011,-165.4064,-8.84,82,24,5.68
98,Roebourne,AU,2021-11-21 22:03:20,-20.7833,117.1333,75.63,66,100,7.25
99,Buraydah,SA,2021-11-21 22:03:21,26.326,43.975,66.97,49,49,8.63
100,Ponta Do Sol,PT,2021-11-21 21:59:04,32.6667,-17.1,68.0,86,60,5.14
101,Sokoni,TZ,2021-11-21 22:03:21,-6.4333,39.55,80.35,70,2,11.41
102,Simga,IN,2021-11-21 22:03:21,21.6333,81.7,72.5,57,7,5.97
103,Canto Do Buriti,BR,2021-11-21 22:03:21,-8.11,-42.9444,85.82,36,49,2.91
104,Burnie,AU,2021-11-21 22:03:22,-41.0667,145.9167,63.95,54,97,2.57
105,Nikolskoye,RU,2021-11-21 21:59:06,59.7035,30.7861,30.09,69,20,10.36
106,Kupang,ID,2021-11-21 21:58:35,-10.1667,123.5833,77.58,100,20,2.3
107,New Amsterdam,GY,2021-11-21 22:03:22,6.25,-57.5167,75.99,90,94,3.56
108,Kashan,IR,2021-11-21 22:03:22,33.9831,51.4364,53.51,60,97,3.22
109,Zyryanka,RU,2021-11-21 22:03:23,65.75,150.85,-11.18,99,100,4.45
110,Bandarbeyla,SO,2021-11-21 22:03:23,9.4942,50.8122,76.35,71,21,13.38
111,Havoysund,NO,2021-11-21 22:03:23,70.9963,24.6622,25.68,53,100,15.19
112,Bonavista,CA,2021-11-21 22:03:23,48.6499,-53.1147,31.12,58,21,6.71
113,Hami,CN,2021-11-21 22:03:24,42.8,93.45,25.02,49,0,1.07
114,Tasiilaq,GL,2021-11-21 22:00:13,65.6145,-37.6368,28.17,97,100,10.87
115,Lengshuijiang,CN,2021-11-21 22:03:24,27.6881,111.4294,46.17,85,97,3.09
116,Bemidji,US,2021-11-21 22:03:24,47.4736,-94.8803,19.9,73,1,14.97
117,Boa Vista,BR,2021-11-21 22:01:25,2.8197,-60.6733,77.59,79,100,3.44
118,Arraial Do Cabo,BR,2021-11-21 22:03:24,-22.9661,-42.0278,69.58,65,16,7.83
119,Codrington,AU,2021-11-21 22:03:25,-38.2667,141.9667,56.61,77,16,7.81
120,Dalvik,IS,2021-11-21 22:03:25,65.9702,-18.5286,40.19,77,43,13.31
121,Saskylakh,RU,2021-11-21 22:00:21,71.9167,114.0833,-24.61,95,16,8.5
122,Adrar,MR,2021-11-21 22:03:25,20.5022,-10.0711,79.88,25,96,3.44
123,Candolim,IN,2021-11-21 22:00:05,15.5181,73.7626,77.61,87,26,5.17
124,Kirakira,SB,2021-11-21 22:03:25,-10.4544,161.9205,84.47,70,21,7.14
125,Hutang,CN,2021-11-21 22:03:26,31.5333,119.4833,44.98,48,100,12.35
126,Tezu,IN,2021-11-21 22:03:26,27.9167,96.1667,64.96,73,98,2.48
127,Mount Gambier,AU,2021-11-21 22:03:26,-37.8333,140.7667,55.08,72,56,7.65
128,Houma,US,2021-11-21 21:59:55,29.5958,-90.7195,79.0,78,40,5.75
129,New Norfolk,AU,2021-11-21 22:00:15,-42.7826,147.0587,61.75,59,76,1.99
130,Hohhot,CN,2021-11-21 22:03:27,40.8106,111.6522,10.6,39,0,4.45
