City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Vanino,RU,49.0869,140.2543,33.96,99,100,22.53,heavy intensity rain
79,Kodiak,US,57.79,-152.4072,22.51,58,90,6.91,light snow
80,Tarsus,TR,36.9188,34.8784,57.07,63,6,2.06,clear sky
81,Cidreira,BR,-30.1811,-50.2056,75.2,65,0,13.65,clear sky
82,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,94,75,22.57,broken clouds
83,Assiniboia,CA,49.6334,-105.9845,44.51,48,93,10.36,overcast clouds
84,Camana,PE,-16.6228,-72.7111,69.19,74,84,6.38,broken clouds
85,Hilo,US,19.7297,-155.09,80.33,65,20,0.0,light rain
86,Isagarh,IN,24.8333,77.8833,64.38,31,0,2.24,clear sky
87,Namibe,AO,-15.1961,12.1522,69.85,75,6,4.29,clear sky
88,Kisangani,CD,0.5167,25.2,72.32,91,99,0.58,overcast clouds
89,Barguzin,RU,53.6167,109.6167,-3.77,92,70,4.45,broken clouds
90,Saskylakh,RU,71.9167,114.0833,-25.94,99,13,7.31,few clouds
91,Buyabod,PH,13.4666,122.0526,79.5,88,23,8.57,few clouds
92,Kharp,RU,66.8014,65.8081,13.28,94,100,6.35,overcast clouds
93,Thompson,CA,55.7435,-97.8558,1.56,60,75,2.3,broken clouds
94,Chuy,UY,-33.6971,-53.4616,86.68,35,75,8.86,broken clouds
95,Sao Filipe,CV,14.8961,-24.4956,80.64,69,2,8.39,clear sky
96,Escanaba,US,45.7453,-87.0646,30.16,57,20,13.8,few clouds
97,Lai,TD,9.3952,16.2989,78.58,26,87,3.31,overcast clouds
98,Hope Mills,US,34.9704,-78.9453,57.29,87,90,1.99,overcast clouds
99,Georgetown,MY,5.4112,100.3354,79.9,92,20,3.44,few clouds
100,Salisbury,GB,51.0693,-1.7957,43.5,88,20,8.05,few clouds
101,Highland Springs,US,37.546,-77.3278,55.36,77,75,3.44,broken clouds
102,Caravelas,BR,-17.7125,-39.2481,69.04,93,100,6.6,overcast clouds
103,Baculin,PH,7.4525,126.5842,77.61,88,82,7.78,broken clouds
104,Ormara,PK,25.2088,64.6357,76.14,46,62,5.84,broken clouds
105,Longyearbyen,SJ,78.2186,15.6401,4.84,66,20,11.5,few clouds
106,Sertanopolis,BR,-23.0586,-51.0364,93.27,24,13,4.61,few clouds
107,La Macarena,CO,2.1837,-73.7849,83.55,67,100,1.92,overcast clouds
108,Edgewater,US,28.9889,-80.9023,75.34,73,40,11.5,scattered clouds
109,Praia,CV,14.9215,-23.5087,79.34,69,20,19.57,few clouds
110,Faya,SA,18.3851,42.4509,60.91,69,53,3.06,broken clouds
111,Gat,IL,31.61,34.7642,61.39,59,0,3.65,clear sky
112,Clyde River,CA,70.4692,-68.5914,14.23,92,90,10.36,light snow
113,Jamestown,US,42.097,-79.2353,32.02,70,90,8.99,light snow
114,Massakory,TD,12.996,15.7293,84.56,17,98,9.62,overcast clouds
