City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
224,Piacabucu,BR,79.61,broken clouds,-10.4056,-36.4344,Piaçabuçu News
225,Sao Mateus Do Maranhao,BR,86.45,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
243,Tuxpan,MX,76.77,scattered clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
245,Mogadishu,SO,80.08,overcast clouds,2.0371,45.3438,Hotel Juba
246,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
249,Guerrero Negro,MX,80.73,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
250,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
252,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
254,Montepuez,MZ,72.73,clear sky,-13.1256,38.9997,PembaAparthotel
265,San Quintin,MX,71.94,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
270,Tomatlan,MX,85.46,broken clouds,19.9333,-105.25,El Salvial
271,Ciudad Bolivar,VE,84.94,overcast clouds,8.1222,-63.5497,Hotel Edi
274,Ponnani,IN,78.12,overcast clouds,10.767,75.9252,Rouba Residency
275,Sao Raimundo Das Mangabeiras,BR,82.8,broken clouds,-7.0219,-45.4811,Hotel Tropical
276,Atar,MR,82.85,overcast clouds,20.5169,-13.0499,Oumou Elghoura
277,Hobyo,SO,79.88,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
282,San Patricio,US,75.61,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
287,El Alto,PE,74.86,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
288,Beberibe,BR,84.24,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
295,Tenosique,MX,74.1,few clouds,17.4833,-91.4333,Hotel Central
296,Abeche,TD,77.36,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
299,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
301,Manga,BF,81.59,clear sky,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
307,Veraval,IN,79.7,overcast clouds,20.9,70.3667,Lords Inn Somnath
308,Amuntai,ID,73.58,broken clouds,-2.4177,115.2494,Hotel Balqis
314,Bangkal,PH,78.89,overcast clouds,6.0667,121.0667,JB's Resort
316,Buta,CD,72.14,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
317,Turbat,PK,70.74,scattered clouds,26.0023,63.044,Mubashar Quarters
326,Tiarei,PF,86.02,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
328,Kaeo,NZ,70.32,scattered clouds,-35.1,173.7833,Bushido Lodge
329,Laguna,US,70.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
334,Sola,VU,82.35,scattered clouds,-13.8833,167.55,Leumerus Bungalows
336,Rocha,UY,87.46,broken clouds,-34.4833,-54.3333,Hotel Arrarte
337,Coaraci,BR,78.24,broken clouds,-14.6408,-39.5511,Pousada Alternativa Coaraci
342,Tarakan,ID,79.99,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
349,Santa Isabel Do Rio Negro,BR,80.82,overcast clouds,-0.4139,-65.0192,Hotel GSA
351,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
354,Port Blair,IN,81.12,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
359,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
361,Pontes E Lacerda,BR,81.03,overcast clouds,-15.2261,-59.3353,Hotel Bressan
366,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
367,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
369,Trairi,BR,81.0,overcast clouds,-3.2778,-39.2689,janelas do mar
370,Soyo,AO,78.66,broken clouds,-6.1349,12.3689,Hotel Mpampa
371,Camalu,MX,81.43,overcast clouds,30.85,-116.0667,La Cueva del Pirata
374,San Policarpo,PH,81.05,overcast clouds,12.1791,125.5072,Agapita M. Nicart
375,Ahuimanu,US,80.31,light rain,21.4447,-157.8378,Paradise Bay Resort
382,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
383,Dunmore Town,BS,78.31,clear sky,25.5,-76.65,Coral Sands Hotel
384,Catende,BR,77.61,overcast clouds,-8.6667,-35.7167,Abrigo Santo Antonio
387,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
390,San Vicente,AR,86.68,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
392,Champerico,GT,86.04,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
398,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
405,Poum,NC,77.72,overcast clouds,-20.2333,164.0167,Gîte kajeon
414,Richards Bay,ZA,70.23,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
418,Kolokani,ML,79.65,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
420,Puerto Madero,MX,89.8,few clouds,14.7208,-92.4215,Hospedaje madero
425,Bowen,AU,71.82,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
427,Trincomalee,LK,79.65,overcast clouds,8.5711,81.2335,Welcombe Hotel
430,Guantanamo,CU,85.57,scattered clouds,20.1444,-75.2092,Hotel Guantánamo
436,Kingston,JM,86.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
440,Sao Jose Da Coroa Grande,BR,79.97,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
441,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
442,Morondava,MG,79.66,overcast clouds,-20.2833,44.2833,La Case Bambou
446,Kollam,IN,80.47,light rain,8.8833,76.6,Nani Hotels and Resorts
448,Bumba,CD,74.3,overcast clouds,2.1833,22.4667,Père Carlos
450,Half Moon Bay,US,74.59,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
459,Yenagoa,NG,76.91,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
465,Lazaro Cardenas,MX,83.5,clear sky,17.9583,-102.2,quinta antigua
468,Oriximina,BR,77.52,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
476,Samarai,PG,83.41,broken clouds,-10.6167,150.6667,Nuli Sapi
487,Talcahuano,CL,71.28,clear sky,-36.7167,-73.1167,departamento comodo
491,Manacapuru,BR,73.98,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
495,Vao,NC,74.17,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
496,Port Keats,AU,84.06,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
499,Pangani,TZ,77.16,overcast clouds,-5.4333,38.9667,Safari Mashariki Lodge
501,Biak,ID,76.84,overcast clouds,-0.9131,122.8766,Penginapan Kim
502,Kiunga,PG,73.33,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
505,Varzea Da Palma,BR,75.99,overcast clouds,-17.5981,-44.7308,Casa Fernandes
506,Pueblo,US,74.16,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
519,San Pedro De Uraba,CO,79.86,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
523,Roxas,PH,79.41,broken clouds,11.5853,122.7511,Urban Manor
527,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
528,Manta,EC,74.98,overcast clouds,-0.95,-80.7333,Balandra Hotel
529,Juquitiba,BR,81.09,clear sky,-23.9317,-47.0683,Hotel Juquiti
530,Daru,PG,81.27,broken clouds,-9.0763,143.2092,Daru Lodge
538,Dingle,PH,76.06,few clouds,10.9995,122.6711,SEGAYA PROPERTY
539,Les Cayes,HT,82.98,scattered clouds,18.2,-73.75,Villa Orphee
540,Kombissiri,BF,82.38,clear sky,12.0656,-1.3375,Mitibkieta Annexe
546,Urucui,BR,83.89,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
548,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
554,Ranong,TH,76.59,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
555,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
561,Dutse,NG,79.56,few clouds,11.7594,9.3392,Central Mosque Galamawa
563,Nagua,DO,89.46,few clouds,19.3832,-69.8474,Hotel Cambri
565,Eyl,SO,76.93,broken clouds,7.9803,49.8164,Amiin Hotel
